                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 2.1188,                 2.9759,                0.45551,                0.70551,               0.000901
                      1,                 1.5408,                 2.9037,                0.51718,                0.72357,               0.000802
                      2,                 1.4089,                 2.8372,                0.54295,                0.74581,               0.000703
                      3,                 1.3121,                 2.8717,                0.55242,                0.73612,               0.000604
                      4,                 1.2803,                 2.8084,                0.59471,                0.75529,               0.000505
                      5,                 1.2136,                 2.7532,                0.57996,                0.74934,               0.000406
                      6,                 1.1734,                 2.7665,                0.59604,                 0.7663,               0.000307
                      7,                 1.1377,                 2.7282,                0.59097,                0.75022,               0.000208
                      8,                 1.1128,                 2.7529,                0.59471,                0.74515,               0.000109
                      9,                 1.0769,                 2.7831,                0.59714,                0.73634,                  1e-05
