                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2747,                0.51022,                0.73145,                 3.8542,               0.070244,              0.0033062,              0.0033062
                      2,                 1.4616,                0.69502,                 0.9036,                 3.5354,               0.040025,              0.0064205,              0.0064205
                      3,                0.69375,                0.74589,                0.92159,                 3.4319,              0.0095857,              0.0093147,              0.0093147
                      4,                0.48648,                0.75211,                0.93381,                 3.4093,                0.00901,                0.00901,                0.00901
                      5,                0.42663,                0.76077,                0.94602,                 3.3945,                0.00868,                0.00868,                0.00868
                      6,                0.39651,                0.76277,                0.94625,                 3.3852,                0.00835,                0.00835,                0.00835
                      7,                0.37606,                0.76299,                0.94203,                 3.3839,                0.00802,                0.00802,                0.00802
                      8,                0.36383,                0.76477,                0.94447,                 3.3839,                0.00769,                0.00769,                0.00769
                      9,                0.34996,                0.76255,                0.94758,                 3.3811,                0.00736,                0.00736,                0.00736
                     10,                0.33703,                0.76766,                0.94713,                 3.3791,                0.00703,                0.00703,                0.00703
                     11,                0.32911,                0.76788,                0.94847,                 3.3767,                 0.0067,                 0.0067,                 0.0067
                     12,                0.32549,                0.76499,                0.94358,                 3.3761,                0.00637,                0.00637,                0.00637
                     13,                0.31384,                0.76433,                0.94447,                 3.3754,                0.00604,                0.00604,                0.00604
